Name,Hours,Contact,Website and Online Order,Address,Georeferenced Column
Pizza Joe’s,Monday- 11:00 am  - 8:00 pm Tuesday- 11:00 am - 8:00 pm  Wednesday- 11:00 am - 8:00 pm Thursday- 11:00 am - 8:00 pm     Friday- 11:00 am - 8:00 pm         Saturday- 11:00 am - 8:00 pm    Sunday- 12:00 am - 8:00 pm,(814) 763-3222,https://www.pizzajoes.com/wp-content/uploads/2022/06/PJ27-Saegertown-revised-menu-2022.pdf,"538 Main St, Saegertown, PA 16433",POINT (-80.149000 41.721640)
Starbucks,Monday- 5:00 am  - 9:00 pm Tuesday- 5:00 am - 9:00 pm  Wednesday- 5:00 am - 9:00 pm Thursday- 5:00 am - 9:00 pm     Friday- 5:00 am - 9:00 pm         Saturday- 5:00 am - 9:00 pm    Sunday- 5:00 am - 9:00 pm,(814) 350-7775,,"18461 Smock Hwy, Meadville, PA 16335",POINT (-80.168000 41.620330)
Subway,Monday- 9:00 am  - 9:00 am Tuesday- 9:00 am - 9:00 am  Wednesday- 9:00 am - 9:00 am Thursday- 9:00 am - 9:00 am     Friday- 9:00 am - 9:00 am         Saturday- 9:00 am - 9:00 am    Sunday- 9:00 am - 9:00 am,(814) 724-1114,https://www.subway.com/en-us/restaurant/7611-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=7611&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MDM4MTktNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"1185 Park Ave, Meadville, PA 16335",POINT (-80.154960 41.631160)
Subway,Monday- 9:00 am  - 9:00 am Tuesday- 9:00 am - 9:00 am  Wednesday- 9:00 am - 9:00 am Thursday- 9:00 am - 9:00 am     Friday- 9:00 am - 9:00 am         Saturday- 9:00 am - 9:00 am    Sunday- 9:00 am - 9:00 am,(814) 763-2279,https://restaurants.subway.com/united-states/pa/saegertown/225-main-street?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=40329&utm_campaign=evergreen-2020,"225 Main St Saegertown, PA 16433",POINT (-80.146580 41.715600)
Subway,Monday-10:00 am  - 8:00 pm Tuesday- 10:00 am - 8:00 pm  Wednesday- 10:00 am - 8:00 am Thursday- 10:00 am - 8:00 pm     Friday- 10:00 am - 8:00 pm         Saturday- 10:00 am - 8:00 pm    Sunday- 10:00 am - 8:00 pm,(814) 724-1701,https://restaurants.subway.com/united-states/pa/meadville/16704-conneaut-lake-road?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=30877&utm_campaign=evergreen-2020,"16704 Conneaut Lake Rd Meadville, PA 16335",POINT (-80.201960 41.623360)
Subway,Monday- 9:00 am  - 8:00 pm Tuesday- 9:00 am - 8:00 pm  Wednesday- 9:00 am - 8:00 pm Thursday- 9:00 am - 8:00 pm     Friday- 9:00 am - 8:00 pm         Saturday- 9:00 am - 8:00 pm    Sunday- 9:00 am - 8:00 pm,(814) 724-1734,https://restaurants.subway.com/united-states/pa/meadville/16086-conneaut-lake-rd?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=39225&utm_campaign=evergreen-2020,"16086 Conneaut Lake Rd Meadville, PA 16335",POINT (-80.201960 41.621990)
Subway,Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 9:00 pm,(814) 827-6015,https://www.subway.com/en-us/restaurant/11025-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=11025&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTUzODctNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"116 N Franklin St, Titusville, PA 16354",POINT (-79.673330 41.627800)
Taco Bell,Monday- 6:00 am  - 3:00 am Tuesday- 6:00 am - 3:00 am  Wednesday- 6:00 am - 3:00 am Thursday- 6:00 am - 3:00 am     Friday- 6:00 am - 3:00 am         Saturday- 6:00 am - 3:00 am    Sunday- 6:00 am - 3:00 am,(814) 724-6261,https://www.tacobell.com/food?store=026112&utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=026112&utm_content=menu&y_source=1_NjE0NjcxMi03MTUtbG9jYXRpb24ubWVudV91cmw%3D,"1228 Park, Ave, Meadville, PA 16335",POINT (-80.156070 41.630260)
Taco Bell,Monday- 6:00 am  - 2:00 am Tuesday- 6:00 am - 2:00 am  Wednesday- 6:00 am - 2:00 am Thursday- 6:00 am - 2:00 am     Friday- 6:00 am - 2:00 am         Saturday- 6:00 am - 2:00 am    Sunday- 6:00 am - 2:00 am,(814) 499-1038,https://www.tacobell.com/?store=040705&utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=040705&utm_content=menu&y_source=1_OTY4MTg1OTAtNzE1LWxvY2F0aW9uLm1lbnVfdXJs,"219 E Central Ave, Titusville, PA 16354",POINT (-79.670090 41.626840)
Tim Horton’s,Monday- 4:00 am  - 1:00 am Tuesday- 1:00 am - 1:00 am  Wednesday- 1:00 am - 1:00 am Thursday- 1:00 am - 1:00 am     Friday- 1:00 am - 1:00 am         Saturday- 7:30 am - 1:00 am    Sunday- 12:30 am - 1:00 am,(814) 336-5002,https://www.timhortons.com/,"1193 Park Ave, Meadville, PA 16335-3108",POINT (-80.154980 41.630960)
Vocelli’s Pizza,Monday- 11:00 am  - 9:00 pm Tuesday- 11:00 am - 9:00 pm  Wednesday- 11:00 am - 9:00 pm Thursday- 11:00 am - 9:00 pm     Friday- 11:00 am - 10:00 pm         Saturday- 11:00 am - 10:00 pm    Sunday- 11:00 am - 9:00 pm,(814) 336-1114,,"991 Park Ave, Meadville, PA 16335",POINT (-80.152780 41.636270)
Wendy’s,Monday- 6:30 am  - 12:00 am Tuesday- 6:30 am - 12:00 am  Wednesday- 6:30 am - 12:00 am Thursday- 6:30 am - 12:00 am     Friday- 6:30 am - 12:00 am         Saturday- 6:30 am - 12:00 am    Sunday- 6:30 am - 12:00 am,(814) 333-9655,https://order.wendys.com/categories?site=menu&lang=en_US,"1011 Park Ave, Meadville, PA 16335",POINT (-80.153080 41.636000)
Wood’s Dog House,Please Contact Establishment for store hours.,(814) 827-4613,,"14764 State Hwy 8, Titusville, PA 16354",POINT (-79.740700 41.680630)
