Name,Hours,Contact,Online Order,Address,Latitude,Longitude
Country Fair - Cochranton,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 425-3862,,"110 Adams St, Cochranton, PA 16314",41.522000,-80.045120
Country Fair - Conneaut Lake & Shaw,Monday- 6:00 am  - 12:00 am Tuesday- 6:00 am - 12:00 am  Wednesday- 6:00 am - 12:00 am Thursday- 6:00 am - 12:00 am     Friday- 6:00 am - 12:00 am         Saturday- 6:00 am - 12:00 am    Sunday- 6:00 am - 12:00 am,(814) 337-5326,,"18163 Conneaut Lake Rd, Meadville, PA 16335",41.620870,-80.173640
Country Fair - North & Main,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 724-8720,,"805 N Main St, Meadville, PA 16335",41.640800,-80.148730
Country Fair - Saegertown,Monday- 6:00 am  - 12:00 am Tuesday- 6:00 am - 12:00 am  Wednesday- 6:00 am - 12:00 am Thursday- 6:00 am - 12:00 am     Friday- 6:00 am - 12:00 am         Saturday- 6:00 am - 12:00 am    Sunday- 6:00 am - 12:00 am,(814) 763-2551,,"515 Main St, Saegertown, PA 16433",41.721160,-80.148290
Country Fair 55,Please contact store for hours of operation,(814) 724-8720,,"333 North St, Meadville, PA 16335",41.640940,-80.148800
Countryside Farm Market,Monday- 9:00 am  - 5:00 pm Tuesday- 9:00 am - 5:00 pm  Wednesday- 9:00 am - 5:00 pm Thursday- 9:00 am - 5:00 pm     Friday- 9:00 am - 5:00 pm         Saturday- 9:00 am - 4:30 pm    Sunday- CLOSED,(814) 398-9222,,"24989 PA-99, Cambridge Springs, PA 16403",41.828890,-80.079630
Crawford County Fairgrounds,Monday- 11:00 am  - 3:00 pm Tuesday-11:00 am - 3:00 pm  Wednesday- 11:00 am - 3:00 pm Thursday- 11:00 am - 3:00 pm     Friday- 11:00 am - 3:00 pm         Saturday- CLOSED            Sunday- CLOSED,(814) 724-3022,,"13291 Dickson Rd, Meadville, PA 16335",41.652310,-80.122480
CVS,CVS Store Hours-              Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 9:00 am - 9:00 pm             CVS Pharmacy-                                           Monday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                           Tuesday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                           Wednesday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                           Thursday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                           Friday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                            Saturday- 8:00 am - 1:30 pm / 2:00 - 8:00 pm                           Sunday- 10:00 am - 1:30 pm / 2:00 - 4:00 pm                                   CVS Photo-                                      Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 9:00 am - 9:00 pm,(814) 333-6370,https://www.cvs.com/minuteclinic/virtual-care?WT.mc_id=LS_CVSFS_GOOGLE_5099_get_online_care_button,"392 North St, Meadville, PA 16335",41.640030,-80.147260
CVS,CVS Store Hours-              Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 9:00 am - 9:00 pm             CVS Pharmacy-                                           Monday- 9:00 am - 1:30 pm /   2:00 - 7:00 pm                           Tuesday- 8:00 am - 1:30 pm /  2:00 - 7:00 pm                           Wednesday- 8:00 am - 1:30 pm / 2:00 - 7:00 pm                           Thursday- 8:00 am - 1:30 pm / 2:00 - 7:00 pm                           Friday- 8:00 am - 1:30 pm /   2:00 - 7:00 pm                            Saturday- 8:00 am - 1:30 pm / 2:00 - 7:00 pm                           Sunday- 11:00 am - 1:30 pm /  2:00 - 5:00 pm                                   CVS Photo-                                      Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 9:00 am - 9:00 pm,(814) 827-4631,https://www.cvs.com/minuteclinic/virtual-care?WT.mc_id=LS_CVSFS_GOOGLE_5097_get_online_care_button,"110 E Central Ave, Titusville, PA 16354",41.627290,-79.673260
Dollar General,Monday- 8:00 am  - 8:00 pm Tuesday- 8:00 am - 8:00 pm  Wednesday- 8:00 am - 8:00 pm Thursday- 8:00 am - 8:00 pm     Friday- 8:00 am - 8:00 pm         Saturday- 8:00 am - 8:00 pm    Sunday- 8:00 am - 8:00 pm,(814) 398-3467,Doordash-               https://www.doordash.com/convenience/store/dollar-general-meadville-2299833/?utm_campaign=gpa,"900 Water St, Meadville, PA 16335",41.638690,-80.155600
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 813-1865,Doordash-                https://www.doordash.com/convenience/store/dollar-general-meadville-23357623/?utm_campaign=gpa,"7735 McHenry St, Meadville, PA 16335",41.611490,-80.151390
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 398-3338,Doordash-    https://www.doordash.com/convenience/store/dollar-general-meadville-2322184/?utm_campaign=gpa,"11102 Perry Hwy, Meadville, PA 16335",41.618580,-80.201000
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 813-11644,,"24095 PA-77, Meadville, PA 16335",41.671580,-80.060730
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(724) 999-8018,Doordash-    https://www.doordash.com/convenience/store/dollar-general-saegertown-23360802/?utm_campaign=gpa,"533 Main St, Saegertown, PA 16433",41.721560,-80.148130
Dollar General,Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 9:00 pm,(814) 813-1197,Doordash-               https://www.doordash.com/convenience/store/dollar-general-conneaut-lake-24736209/?utm_campaign=gpa,"12853 Conneaut Lake Rd, Conneaut Lake, PA 16316",41.608190,-80.280090
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 382-1653,Doordash-                https://www.doordash.com/convenience/store/dollar-general-conneaut-lake-26008263/?utm_campaign=gpa,"12543 Reed Ave, Conneaut Lake, PA 16316",41.637330,-80.319490
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 271-2610,,"178 N Franklin St, Cochranton, PA 16314",41.526090,-80.053380
Dollar General,Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 9:00 pm,(814) 398-3457,,"742 Venango Ave, Cambridge Springs, PA 16403",41.799220,-80.069980
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 398-3432,,"6304 US-6, Linesville, PA 16424",41.656130,-80.404260
Dollar General,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 10:00 pm,(814) 859-9190,,"1901 Main St, Conneautville, PA 16406",41.750550,-80.360820
Downtown Grocery,Monday- 9:00 am  - 6:00 pm Tuesday- 9:00 am - 6:00 pm  Wednesday- 9:00 am - 6:00 pm Thursday- 9:00 am - 6:00 pm     Friday- 9:00 am - 6:00 pm         Saturday- 9:00 am - 4:00 pm    Sunday- CLOSED,(814) 337-0055,,"560 Washington St, Meadville, PA 16335",41.640310,-80.140480
Family Dollar,Monday- 9:00 am  - 9:00 pm Tuesday- 9:00 am - 9:00 pm  Wednesday- 9:00 am - 9:00 pm Thursday- 9:00 am - 9:00 pm     Friday- 9:00 am - 9:00 pm         Saturday- 9:00 am - 9:00 pm    Sunday- 9:00 am - 8:00 pm,(814) 807-6026,FamilyDollar.com-    https://www.familydollar.com/                            Instacart-                 https://www.instacart.com/store/family-dollar/storefront?guest=true&current_zip_code=16335&utm_source=instacart_google&utm_medium=google_place_action&utm_campaign=family-dollar&utm_content=retailerid-1424_regionid-29902390714_warehouseid-1424&rwg_token=AAh05qaWnGWij41jDlvZdT8Dpfgc-JrLxCHN0WQsoq8aetAQCQqDSJ-UUPim7ki-H0T_Qaq4oU4_bfXlj9oOXW8f1W6V-aCSqg%3D%3D,"18971 Park Avenue Plaza, Meadville, PA 16335",41.623100,-80.160830
Family Dollar,Monday- 8:00 am  - 10:00 pm Tuesday- 8:00 am - 10:00 pm  Wednesday- 8:00 am - 10:00 pm Thursday- 8:00 am - 10:00 pm     Friday- 8:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 8:00 am - 9:00 pm,(814) 564-6010,FamilyDollar.com-    https://www.familydollar.com/,"368 Main St, Spartanburg, PA 16434",41.823450,-79.685280
Geneva Fast Stop,Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 6:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm,814-638-0117,,"5775 Us Highway 19, Cochranton, PA 16314",41.542490,-80.188300
GetGo Gas Station,Monday- 6:00 am  - 9:00 pm Tuesday- 6:00 am - 9:00 pm  Wednesday- 6:00 am - 9:00 pm Thursday- 6:00 am - 9:00 pm     Friday- 6:00 am - 9:00 pm         Saturday- 6:00 am - 9:00 pm    Sunday- 6:00 am - 9:00 pm,(814) 724-3535,,"18499 Smock Hwy, Meadville, PA 16335",41.542490,-80.188300
GetGo,Monday- 6:00 am  - 9:00 pm Tuesday- 6:00 am - 9:00 pm  Wednesday- 6:00 am - 9:00 pm Thursday- 6:00 am - 9:00 pm     Friday- 6:00 am - 9:00 pm         Saturday- 6:00 am - 9:00 pm    Sunday- 6:00 am - 9:00 pm,(814) 724-3535,,"18499 Smock Hwy, Meadville, PA 16335",41.619820,-80.167190
Giant Eagle Supermarket,Supermarket Hours-       Monday- 6:00 am  - 9:00 pm Tuesday- 6:00 am - 9:00 pm  Wednesday- 6:00 am - 9:00 pm Thursday- 6:00 am - 9:00 pm     Friday- 6:00 am - 9:00 pm         Saturday- 6:00 am - 9:00 pm    Sunday- 6:00 am - 9:00 pm         Bakery Hours-                             Monday- 7:00 am  - 7:00 pm Tuesday- 7:00 am - 7:00 pm  Wednesday- 7:00 am - 7:00 pm Thursday- 7:00 am - 7:00 pm     Friday- 7:00 am - 8:00 pm         Saturday- 7:00 am - 8:00 pm    Sunday- 7:00 am - 8:00 pm         Deli Hours-                                   Monday- 8:00 am  - 8:00 pm Tuesday- 8:00 am - 8:00 pm  Wednesday- 8:00 am - 8:00 pm Thursday- 8:00 am - 8:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 9:00 pm         Pharmacy Hours-                         Monday- 9:00 am  - 8:00 pm Tuesday- 9:00 am - 8:00 pm  Wednesday- 9:00 am - 8:00 pm Thursday- 9:00 am - 8:00 pm     Friday- 9:00 am - 8:00 pm         Saturday- 9:00 am - 6:00 pm    Sunday- 9:00 am - 6:00 pm         Prepared Foods Hours-               Monday- 6:00 am  - 9:00 pm Tuesday- 6:00 am - 9:00 pm  Wednesday- 6:00 am - 9:00 pm Thursday- 6:00 am - 9:00 pm     Friday- 6:00 am - 9:00 pm         Saturday- 6:00 am - 9:00 pm    Sunday- 6:00 am - 9:00 pm,(814) 724-1119,Instcart-        https://www.instacart.com/store/giant-eagle/storefront?guest=true&current_zip_code=16335&utm_source=instacart_google&utm_medium=google_place_action&utm_campaign=giant-eagle&utm_content=retailerid-2826_regionid-62844533670_warehouseid-2826&rwg_token=AAh05qYb6s05G42988Yf7PQi0JiK9CdjOja20a2Hv8z_lBEfOjeIxQvJAotEcn7opPmgTIhkPDz_jKa17MQHLcz7dlb6OrDxdQ%3D%3D                Doordash-                https://www.doordash.com/convenience/store/giant-eagle-meadville-27716078/?utm_campaign=gpa,"18511 Smock Hwy, Meadville, PA 16335",41.618990,-80.167460
Hickernell Grocery,Monday- 9:00 am  - 6:00 pm Tuesday- 9:00 am - 5:00 pm  Wednesday- 9:00 am - 6:00 pm Thursday- 9:00 am - 5:00 pm     Friday- 9:00 am - 5:00 pm         Saturday- 9:00 am - 6:00 pm    Sunday- CLOSED,(814) 587-2073,,"23641 N Hickernell Rd Spring Two, PA 16435",41.798580,-80.298600
H & H Market Place,Monday- 6:00 am  - 6:00 pm Tuesday- 6:00 am - 6:00 pm  Wednesday- 6:00 am - 6:00 pm Thursday- 6:00 am - 6:00 pm     Friday- 6:00 am - 6:00 pm         Saturday- 6:00 am - 6:00 pm    Sunday- 7:00 am - 5:00 pm,(814) 763-5622,,"201 Main St, Saegertown, PA 16433",41.715150,-80.145560
Krispy Krunchy Chicken,Please contact store for hours of operation,814-337-0912,,"324 Pine St, Meadville PA 16335",41.634870,-80.151730
Kwik Fill,Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 8:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm,(814) 337-0038,,"275 Linden St, Meadville, PA 16335",41.630040,-80.155190
Kwik Fill,Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 8:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm,(814) 336-1323,,"471 North St, Meadville, PA 16335",41.639920,-80.144010
Kwik Fill,Monday- 6:00 am  - 11:00 pm Tuesday- 6:00 am - 11:00 pm  Wednesday- 6:00 am - 11:00 pm Thursday- 6:00 am - 11:00 pm     Friday- 6:00 am - 11:00 pm         Saturday- 8:00 am - 11:00 pm    Sunday- 6:00 am - 11:00 pm,(814) 337-2826,,"21268 Blooming Valley Rd, Meadville, PA 16335",41.653560,-80.114940
Kwik Fill,Monday- 6:00 am  - 10:00 pm Tuesday- 6:00 am - 10:00 pm  Wednesday- 6:00 am - 10:00 pm Thursday- 6:00 am - 10:00 pm     Friday- 6:00 am - 10:00 pm         Saturday- 8:00 am - 10:00 pm    Sunday- 6:00 am - 10:00 pm,(814) 337-0039,,"11144 Perry Hwy, Meadville, PA 16335",41.619340,-80.201540
Kwik Fill,Monday- 6:00 am  - 11:00 am Tuesday- 6:00 am - 11:00 am  Wednesday- 6:00 am - 11:00 am Thursday- 6:00 am - 11:00 am     Friday- 6:00 am - 11:00 am         Saturday- 8:00 am - 11:00 am    Sunday- 6:00 am - 11:00 am,(814) 763-2508,,"270 Main St, Saegertown, PA 16433",41.716770,-80.147670
Lakeside Stop N Go,Monday- 6:30 am  - 7:00 pm Tuesday- 6:30 am - 7:00 pm  Wednesday- 6:30 am - 7:00 pm Thursday- 6:30 am - 7:00 pm     Friday- 6:30 am - 7:00 pm         Saturday- 7:00 am - 7:00 pm    Sunday- 7:00 am - 6:00 pm,814-333-1258,,16709 Conneaut Lake Rd. Meadville PA 16335,41.622130,-80.201830
Last Mint Mobile - Meadville - Marathon,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,814-336-1457,,"16401 Harmonsburg Rd, Meadville, PA 16335",41.647260,-80.208720
Lincoln Avenue Grocer,Monday- 10:00 am  - 6:00 pm Tuesday- 10:00 am - 6:00 pm  Wednesday- 10:00 am - 6:00 pm Thursday- 10:00 am - 6:00 pm     Friday- 10:00 am - 6:00 pm         Saturday- 10:00 am - 6:00 pm    Sunday- 10:00 am - 5:00 pm,(814) 333-1123,,"145 Lincoln Ave, Meadville, PA 16335",41.648470,-80.160860
McMann Country Store,Please contact store for hours of operation,(724) 932-5106,,"3940 Main St Adamsville, PA 16110",41.511570,-80.369330
Miller’s Country Store,Monday- 9:00 am  - 6:00 pm Tuesday- 9:00 am - 6:00 pm  Wednesday- 9:00 am - 6:00 pm Thursday- 9:00 am - 6:00 pm     Friday- 9:00 am - 6:00 pm         Saturday- 9:00 am - 4:00 pm    Sunday- 9:00 am - 6:00 pm,(814) 425-1017,,"19177 PA-285, Cochranton, PA 16314",41.526140,-80.150410
Miller’s Farm Market,Monday- 9:00 am  - 5:30 pm Tuesday- 9:00 am - 5:30 pm  Wednesday- 9:00 am - 5:30 pm Thursday- 9:00 am - 5:30 pm     Friday- 9:00 am - 5:30 pm         Saturday- 9:00 am - 4:30 pm    Sunday- CLOSED,(814) 333-2667,,"12170 Townline Rd, Meadville, PA 16335",41.636070,-80.094630
Millstone Market,Monday- 9:00 am  - 6:00 pm Tuesday- 9:00 am - 6:00 pm  Wednesday- 9:00 am - 6:00 pm Thursday- 9:00 am - 6:00 pm     Friday- 9:00 am - 6:00 pm         Saturday- 9:00 am - 4:00 pm    Sunday- 9:00 am - 6:00 pm,(814) 373-8408,,"11523 PA-198, Guys Mills, PA 16327",41.631800,-79.976980
Norma’s,Please contact store for hours of operation,(814) 789-2925,,"10790 State Highway 198 Guys Mills, PA 16327",41.631630,-79.954510
Quick Mart,Monday- 9:30 am  - 5:00 pm Tuesday- 9:30 am - 5:00 pm  Wednesday- 9:30 am - 5:00 pm Thursday- 9:30 am - 5:00 pm     Friday- 9:30 am - 5:00 pm         Saturday- 9:30 am - 2:30 pm    Sunday- CLOSED,(814) 724-5423,,"900 Water St, Meadville, PA 16335",41.638690,-80.155600
Quick Stop,Monday- 6:00 am  - 9:00 am Tuesday- 6:00 am - 9:00 am  Wednesday- 6:00 am - 9:00 am Thursday- 6:00 am - 9:00 am     Friday- 6:00 am - 9:00 am         Saturday- 8:00 am - 8:00 am    Sunday- 8:00 am - 8:00 am,(814) 337-0912,,"324 Pine St, Meadville, PA 16335",41.634870,-80.151730
Ray’s Market Place,Monday- 7:00 am  - 8:00 pm Tuesday- 7:00 am - 8:00 pm  Wednesday- 7:00 am - 8:00 pm Thursday- 7:00 am - 8:00 pm     Friday- 7:00 am - 8:00 pm         Saturday- 7:00 am - 8:00 pm    Sunday- 8:00 am - 6:00 pm,(814) 683-5656,,"6131 US-6, Linesville, PA 16424",41.655010,-80.407540
Rite Aid,Monday- 8:00 am  - 9:00 pm Tuesday- 8:00 am - 9:00 pm  Wednesday- 8:00 am - 9:00 pm Thursday- 8:00 am - 9:00 pm     Friday- 8:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 8:00 pm,814-336-3773,,"975 Market St, Meadville, PA 16335",41.636600,-80.153760
Samuel’s Market,Please contact store for hours of operation,(814) 587-3055,,"800 Main St Conneautville, PA 16406",41.758620,-80.370430
Save-A-Lot,Monday- 8:00 am  - going 9:00 pm Tuesday- 9:00 am - 9:00 pm  Wednesday- 9:00 am - 9:00 pm Thursday- 9:00 am - 9:00 pm     Friday- 9:00 am - 9:00 pm         Saturday- 8:00 am - 9:00 pm    Sunday- 8:00 am - 6:00 pm,(814) 724-1001,,"18967 Park Avenue Plz, Meadville, PA 16335",41.623080,-80.160840
Schmuckers Country Store,Please contact store for hours of operation,(814) 425-1400,,"23666 Us Highway 322, Cochranton, PA 16314",41.543780,-80.088450
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 333-1832,Doordash-               https://www.doordash.com/convenience/store/sheetz-meadville-2458328/?utm_campaign=gpa Postmates-              https://postmates.com/store/sheetz-18425-smock-hwy-153/Rm7uMNw6ShexyNQlJx6AeA?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google           Ubereats-                 https://www.ubereats.com/store/sheetz-18425-smock-hwy-153/Rm7uMNw6ShexyNQlJx6AeA?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google,"18425 Smock Hwy, Meadville PA, 16335",41.620200,-80.168870
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 807-0800,Doordash-               https://www.doordash.com/convenience/store/sheetz-meadville-2458106/?utm_campaign=gpa Postmates-               https://postmates.com/store/sheetz-16590-conneaut-lake-rd-337/bm4pMx3-QBKDXbnNqthtxg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google          Ubereats-     https://www.ubereats.com/store/sheetz-16590-conneaut-lake-rd-337/bm4pMx3-QBKDXbnNqthtxg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google,"16590 Conneaut Lake Rd, Meadville, PA 16335",41.623050,-80.204530
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 382-0402,Doordash-                https://www.doordash.com/convenience/store/sheetz-conneaut-lake-24871986/?utm_campaign=gpa Postmates-              https://postmates.com/store/sheetz-315-water-st-box-5096-159/pD7QShgcTQmcyaNmmtmuIg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google           Ubereats-                  https://www.ubereats.com/store/sheetz-315-water-st-box-5096-159/pD7QShgcTQmcyaNmmtmuIg?utm_campaign=place-action-link-grocohol&utm_medium=organic&utm_source=google,"315 Water St BOX 5096, Conneaut Lake, pA 16316",41.603010,-80.304720
Sheetz,Monday- Open 24 hours   Tuesday- Open 24 hours  Wednesday- Open 24 hours Thursday- Open 24 hours     Friday- Open 24 hours         Saturday- Open 24 hours    Sunday- Open 24 hours,(814) 827-7434,Doordash-                https://www.doordash.com/convenience/store/sheetz-titusville-2458311/?utm_campaign=gpa,"331 W Central Ave, Titusville, PA 16354",41.627080,-79.678460
